sittingDate,title,speaker,segment_no,speech_text
12-02-2026,"Health Screenings for Those from Countries with High-risk of Nipah Virus, and Healthcare Advisories to Doctors and Public",Ms Joan Pereira,1,"asked the Coordinating Minister for Social Policies and Minister for Health in view of the Nipah virus (NiV) high case fatality rate (CFR), whether the Ministry will (i) require health declarations and conduct screening of passengers arriving from or who have recently been in high-risk areas at our ports of entry and (ii) provide healthcare advisories and information to doctors and the public."
12-02-2026,"Health Screenings for Those from Countries with High-risk of Nipah Virus, and Healthcare Advisories to Doctors and Public",Dr Koh Poh Koon,2,"Mr Speaker, the Communicable Diseases Agency (CDA) issued a press release on our responses to the Nipah virus infections in West Bengal, India, on 28 January 2026. Since then, we have further issued clinical guidance to all medical practitioners, conducted an educational webinar for primary care doctors, adjusted the electronic Health Declaration Card for all incoming travellers and activated temperature screening for travellers arriving on ships from affected areas. The Ministry of Manpower has also disseminated CDA’s announcements on precautionary health measures to migrant workers and migrant domestic workers as well as to employers, dormitory operators and employment agencies. CDA is monitoring the situation in India and globally closely, and will adjust our measures as needed based on the evolving risks that are developing."
12-02-2026,"Health Screenings for Those from Countries with High-risk of Nipah Virus, and Healthcare Advisories to Doctors and Public",Ms Joan Pereira,3,"Thank you, Speaker, and the Senior Minister of State. I seek two clarifications from the Senior Minister of State on border health measures that have been stepped up in view of the disease outbreaks overseas. First, will these include updating the SG Arrival Card declarations required of arriving passengers in terms of prior travel destinations? I ask this because I checked the SG Arrival Card, and only Africa and Latin America are listed. My second clarification is whether this information will be shared with the health authorities for further monitoring."
12-02-2026,"Health Screenings for Those from Countries with High-risk of Nipah Virus, and Healthcare Advisories to Doctors and Public",Dr Koh Poh Koon,4,"Sir, I thank the Member for raising these questions, which many people are naturally concerned about. Indeed, the answer to her question is yes, we have enhanced the electronic health declaration card, which is part of the SG Arrival Card. In this format, if the arriving individual, clicks yes on the SG Arrival Card to any of the symptoms, then there will be a prompt to enter the previous travel destination, and that would include the West Bengal region as well. But if the person clicks no to any of the symptoms, then he would not be prompted for any travel destinations that we are monitoring. So, it is to make sure that there are no excessive compliance needs on the individual submitting the information card to make it seamless. At the same time, we do not want to end up having over-declaration for those with no symptoms. What is the second question?"
12-02-2026,"Health Screenings for Those from Countries with High-risk of Nipah Virus, and Healthcare Advisories to Doctors and Public",Ms Joan Pereira,5,Whether information will be shared with the health authorities.
12-02-2026,"Health Screenings for Those from Countries with High-risk of Nipah Virus, and Healthcare Advisories to Doctors and Public",Dr Koh Poh Koon,6,"Yes, for sure. Any of the information collected by the SG Arrival declaration card will indeed be piped into CDA so that we can perform any contact tracing if necessary."
12-02-2026,"Health Screenings for Those from Countries with High-risk of Nipah Virus, and Healthcare Advisories to Doctors and Public",Mr Gerald Giam Yean Song,7,I have filed similar questions and I will repeat them here. What is the progress of local research into Nipah virus diagnostic kits and vaccines and does Singapore currently possess or have any plans to develop bio-safety 4 laboratory capacity for vaccine testing. And what grants or subsidies are there for local firms to ensure that such research remains viable even though there is no commercial market.
12-02-2026,Local Research into Nipah Virus Diagnostic Kits and Vaccines,Mr Gerald Giam Yean Song,1,asked the Coordinating Minister for Social Policies and Minister for Health (a) what is the progress of local research into Nipah virus diagnostic kits and vaccines; (b) whether Singapore currently possesses or has plans to develop Biosafety Level 4 laboratory capacity for such vaccine testing; and (c) what grants or subsidies support local firms to ensure such research remains viable without a commercial market.
12-02-2026,Local Research into Nipah Virus Diagnostic Kits and Vaccines,Dr Koh Poh Koon,2,"Sir, the main local research programme on Nipah virus and other pathogens with pandemic potential is the Programme for Research in Epidemic Preparedness and Response (PREPARE). PREPARE is funded under the Research, Innovation and Enterprise (RIE) programme, which can involve collaborations between public sector institutions and private sector firms. To date, under PREPARE, Duke-NUS, the National University of Singapore (NUS) and the Agency for Science, Technology and Research (A*STAR) are conducting six research projects on Nipah virus covering diagnostics, therapeutics and vaccines. All of these are in progress and do not involve the use of live Nipah virus, which requires a biosafety level (BSL) 4 laboratory. Singapore currently does not have a BSL 4 laboratory for the purposes of research. The Ministry of Defence is upgrading the capabilities of DSO National Laboratories to BSL 4."
12-02-2026,Local Research into Nipah Virus Diagnostic Kits and Vaccines,Mr Gerald Giam Yean Song,3,"I thank the Senior Minister of State for the reply. Can the Senior Minister of State provide a timeline, if any, for a locally developed and validated Nipah diagnostic kit, and when will that be ready for deployment across our public hospital network? Secondly, the concerns about the Nipah virus are real but the Oxford NipahB vaccine has recently entered Phase 2 trials in Bangladesh and received prime designation from the European Medicines Agency to expedite review. Given these developments, will the Health Sciences Authority consider an interim authorisation for this vaccine through the Pandemic Special Access Route to ensure rapid deployment in the case of a local outbreak? Thirdly, how is Singapore coordinating with regional neighbours in the Association of Southeast Asian Nations (ASEAN) to share genomic sequencing data or research findings to ensure a collective response to any potential regional Nipah outbreak?"
