sittingDate,title,speaker,segment_no,speech_text
03-02-2026,Mitigating Cost Impact on Customers with Beverage Container Return Scheme's Roll-out in April 2026,Ms Poh Li San,1,"asked the Minister for Sustainability and the Environment for the Implementation of the Beverage Container Return Scheme (BCRS), how will NEA ensure that (i) the locations of all BCRS vending machines are known to consumers and (ii) retailers and shops do not sell beverages in non-returnable containers at the same price as returnable containers to consumers."
03-02-2026,Mitigating Cost Impact on Customers with Beverage Container Return Scheme's Roll-out in April 2026,Ms Joan Pereira,2,"asked the Minister for Sustainability and the Environment in respect of the Beverage Container Return Scheme (a) what measures will be put in place to mitigate the impact of potential price increases on consumers, particularly for products from smaller producers; and (b) what assistance will be provided to vulnerable residents not living near return points to claim their container deposits."
03-02-2026,Mitigating Cost Impact on Customers with Beverage Container Return Scheme's Roll-out in April 2026,Mr Foo Cexiang,3,asked the Minister for Sustainability and the Environment (a) whether NEA took reference from other countries in designing the Beverage Container Return Scheme; (b) whether NEA has considered alternatives which could have a lower cost impact on producers and consumers; and (c) how will NEA ensure that producers and consumers are not adversely and severely impacted.
03-02-2026,Mitigating Cost Impact on Customers with Beverage Container Return Scheme's Roll-out in April 2026,Ms Valerie Lee,4,asked the Minister for Sustainability and the Environment (a) how many operational reverse vending machines and return points will be available at the onset of the Beverage Container Return Scheme on 1 April 2026; (b) how will adequate capacity for redemption of deposits be assured during the roll-out of the scheme; and (c) how will unredeemed deposits be managed with full transparency.
03-02-2026,Mitigating Cost Impact on Customers with Beverage Container Return Scheme's Roll-out in April 2026,Mr Kenneth Tiong Boon Kiat,5,"asked the Minister for Sustainability and the Environment given that the Beverage Container Return Scheme is projected to add 25 to 60 cents to prices of bottled and canned drinks of which only 10 cents is refundable, what assessment was made of the affordability impact on lower-income households before confirming the April 2026 launch."
03-02-2026,Mitigating Cost Impact on Customers with Beverage Container Return Scheme's Roll-out in April 2026,Dr Janil Puthucheary,6,"Mr Speaker, Sir, may I answer Question No 1 through to Question No 5, and written Question No 22, on today's Order Paper, please?"
03-02-2026,Mitigating Cost Impact on Customers with Beverage Container Return Scheme's Roll-out in April 2026,Dr Janil Puthucheary,7,"Sir, the response to these questions also addresses related Parliamentary Questions on the Beverage Container Return Scheme (BCRS) filed by Members of Parliament Mr Abdul Muhaimin Abdul Malik and Ms Lee Hui Ying 1, 2, 3 for Sittings on or after 4 February 2026. Sir, I thank Members for their interest in the upcoming BCRS, which will commence on 1 April this year. This scheme was debated three years ago during the Second Reading of the Resource Sustainability (Amendment) Bill and Members had expressed support for the scheme. Engagements and discussions with industry and the public had started even earlier. The scheme was first proposed by a Recycle Right Citizens’ Workgroup in 2019 to increase household recycling rates and reduce contamination in the recycling bins. These intentions remain relevant today. The amount of packaging waste generated in Singapore forms one third of our domestic waste generated and our overall recycling rate remains low. The BCRS aims to increase the recycling of beverage containers using an Extended Producer Responsibility (EPR) concept. And this is the second such scheme to be introduced in Singapore, building on our experience with the e-waste recycling programme. The scheme features a deposit paid at the point of purchase to incentivise consumers to return their containers. By nudging consumers to make a small change in their lifestyle, we hope to increase recycling of beverage containers and spark a change in our recycling habits. In designing the scheme, we studied the experiences of other jurisdictions. Schemes in Norway, Denmark and Lithuania have achieved high collection rates, and one common factor was having an industry-led, not-for-profit entity run the scheme. We have adopted a similar approach in Singapore, because the industry stakeholders are best placed to determine the most effective way to recover used beverage containers. They are also incentivised to operate the scheme efficiently and effectively to ensure that the cost impact on producers is manageable. The scheme operator, BCRS Ltd, was formed by the industry and is governed by a Board that has both large and small producer representatives, comprising Coca-Cola Singapore Beverages, F&N Foods, Pokka, Wanin Industries and Chia Khim Lee Food Industries. Licensed by the National Environment Agency (NEA), they are required to report the amount of 10-cent deposits collected from the producers and refunded to the consumers in their annual report for public accountability. Several Members asked questions about the cost of the scheme and the effect on beverage prices. All regulated beverage containers supplied in Singapore will attract a 10-cent deposit, which is fully refundable. Such containers will bear a deposit mark for easy identification. Consumers will pay this 10 cents at the point of purchase and obtain their refund when they return the containers for recycling. All producers will also need to pay a producer fee of three to four cents per container to the scheme operator, BCRS Ltd. This fee covers the logistics to collect and recycle the containers and is comparable to fees in other jurisdictions. From our engagements with stakeholders, producers of about 80% of beverage containers can incorporate the deposit mark and barcode requirements directly on their containers. Beyond the once-off implementation cost, these producers should see costs per container close to the producer fee of three to four cents, which should keep compliance costs low for most drinks sold. Some producers may need to, or may choose to, place a sticker on their containers, instead of changing the design of the container, in order to comply with the scheme. The cost of stickering will vary, depending on the quantity of containers put to market and how their supply chains are organised. Some can do so for about three cents per container, if done at source overseas and at scale. For small quantities done locally, the cost to the producer would be higher. We appreciate that some producers may find the transition more challenging. NEA and the scheme operator BCRS Ltd have been engaging both large and small producers regularly and providing practical support to help them come on board. Responding to feedback from producers that they needed more time to comply with the scheme requirements, we have extended the transition period from three months, to six months. We also introduced a transition grant of $2,500 to help smaller businesses. We will continue to be flexible and supportive to producers who reach out to BCRS Ltd to help address their concerns. Over time, we expect producers to work with BCRS Ltd to optimise their processes and find cost effective ways to meet their responsibility to the environment. The consumer pricing of beverages is a complex and commercial decision. Consumer demand patterns and marketing strategies will also affect the price. We have designed the scheme to be run as efficiently as possible, with a low cost to producers. Any cost pass-through to consumers will likely be further moderated by price competition among industry players, as consumers have a wide variety of choices. This has been the experience in some jurisdictions that have implemented this, where studies found that the introduction of deposit return schemes did not have a significant direct impact on beverage prices or beverage sales. Members have also asked about the accessibility of our return point network. At launch in April, the public can return their empty plastic and metal beverage containers bearing the deposit mark at over 1,000 Reverse Vending Machines (RVMs) located across Singapore to obtain a 10-cent refund. These RVMs will be located at larger supermarkets and other publicly accessible locations with high footfall, such as void decks of HDB blocks and some hawker centres. Sir, 90% of residents in HDB housing estates will live within a five-minute walk to one of these return points. BCRS Ltd will provide more details on the RVM locations in the coming weeks. We aim to double the number of return points to 2,000 RVMs within the first year of implementation. While the scheme officially starts in April, containers bearing the deposit mark will gradually enter the market during the transition period, with widespread availability expected by August and September. During this initial period, we will closely monitor return patterns and gather community feedback to determine the optimal location for these additional return points. We want to create a scheme that works for all of us. At launch, we will deploy ambassadors on the ground to guide the public on how to use the RVMs. We recognise that some seniors and vulnerable members of the community may require additional assistance to adapt to the scheme. NEA and BCRS Ltd, together with our community partners, are committed to providing additional support to better address their needs. A key focus for us in the coming weeks is to work closely with all stakeholders to build understanding and support for the scheme. We will be reaching out to grassroots organisations, schools, youth groups, non-governmental organisations (NGOs) and corporate partners to share how the scheme works and why it matters. Many are already champions of our sustainability initiatives and I hope will continue to advocate for how BCRS is a very important step in our journey to look after our land, our resources and our environment. We are also in discussions with other key stakeholders, including coffeeshops and smaller retailers, to help them understand the scheme and explain it to consumers. This includes posters and collaterals to assist in distinguishing new beverage containers bearing the deposit mark, from older or non-regulated beverages that are not subject to the deposit. The beverage container return scheme is a significant step forward in Singapore’s recycling journey. It will take time for all of us to adjust. We will not get everything right from the start. We ask for feedback, suggestions and understanding as we transit to this new way of recycling. As we gather more data, we will refine and improve the scheme. We need everyone’s support to make this scheme a success. We want to thank the producers who have helped to bring the scheme to where it is today and call upon those who have yet to register for the scheme to come forward and do their part for the environment. The scheme cannot succeed without the support of our residents. I encourage Members of the House to rally their communities to participate actively, and extend a helping hand to those who may need assistance in returning their containers, as we all do our part for Singapore’s sustainability journey."
03-02-2026,Mitigating Cost Impact on Customers with Beverage Container Return Scheme's Roll-out in April 2026,Ms Poh Li San,8,"Thank you, Speaker and the Senior Minister of State. I have two supplementary questions. First, we expect this collection of return containers, with over 1,000, to even in future, 2,000 return points to be quite a substantial operational and logistical effort. What is the estimated additional manpower that is needed for collection and transportation of all these collected containers? And related to this, my second supplementary question: how would consumers be protected? Should the cost of drinks go beyond the three to four cents of operational costs, as imputed in these logistical operations, will that lead to much more expensive drinks in future for consumers?"
03-02-2026,Mitigating Cost Impact on Customers with Beverage Container Return Scheme's Roll-out in April 2026,Dr Janil Puthucheary,9,"Sir, I thank Ms Poh for the questions. On the first matter, the RVMs are operated by the return point network operators. They have entered into contractual arrangements with companies to then do the reverse logistics – to empty out the RVMs at least once per day, and more if there is a high return rate at that particular machine. They also maintain the cleanliness and operations of the machines. The reverse logistics operators are companies and entities that are already well known to us. They are actually part of our public waste collection and Town Council operations. They are they are not new companies being set up just for this purpose. I do not have a specific answer in terms of the number of man hours. This is something that will be adjusted over time, depending on which RVMs require frequent clearance and which ones only require clearance once per day. But we will be watching this closely and we are working with the companies to make sure that their operations can be done smoothly. We have to make sure that the machines maintain their up-time as a service to the residents, so that the ability to return these beverage containers is always there. To her second question about protection for consumers, there are several reasons to have some degree of confidence in what is going to happen moving forward. The first is the experience in other jurisdictions where the introduction of such schemes has not led to an increase in price of beverage containers. More than 50 jurisdictions around the world have introduced similar schemes. So, in designing our scheme, we took reference from those lessons around the world and started with our BCRS, which is industry-led. Secondly, the competition in this industry is quite significant. For 80% of the beverage containers that are put to market, the producers of these 80% of the containers have told us that their cost for doing so is about three to four cents. They have been quite engaging and open about this. There is a long tail of smaller producers that will face some challenges, and as I have explained, we will be flexible and supportive to assist these businesses in dealing with the transition and will try to help them come on board. The protection for the consumers is that our consumers are quite discriminatory and they will adjust purchasing behaviour if there is indeed some attempt to extract excessive profits through this process. Nevertheless, NEA will be watching the beverage prices after we introduce this scheme and through the transition, very closely."
03-02-2026,Mitigating Cost Impact on Customers with Beverage Container Return Scheme's Roll-out in April 2026,Mr Foo Cexiang,10,"Thank you, Speaker. My clarification for the I thank him for his response that there will be about 1,000 RV15,000. Given that everyone who buys a can will have to return the can to the vending machine to get back to 10 cents, do we anticipate queues and long waiting periods at the RVMs? And also, have we taken into consideration of the logistical arrangements in terms of malfunctions or that sort of operational challenges with the RVMs?"
03-02-2026,Mitigating Cost Impact on Customers with Beverage Container Return Scheme's Roll-out in April 2026,Dr Janil Puthucheary,11,"Sir, I thank Mr Foo Cexiang for his questions. We are deploying 1,000 RVMs in the first instance. The way in which we are doing it, this phased approach, is indeed to then learn about how best to deploy, where best to deploy and how best to then have ambassadors come and assist people. So, we are deploying 1,000 machines together with operations to have people stand by the machines at certain times of the day to assist seniors particularly, but also anybody who is asking for help. We will learn from that experience to decide how we should deploy the next 1,000 machines and where we should deploy them. Again, we are learning from the experience of jurisdictions overseas. We are also learning from the experience here in Singapore, where we had about 50 RVMs operate through a pilot programme over four years. We collected about 16 million containers through that process. The operators of that pilot are also one of our return point network operators and on the board of BCRS Ltd. So, we are taking those lessons in and through all of that, we have assessed that we do not need 15,000 RVMs. There is a certain minimum volume collection per day that makes the logistical arrangements cost-effective, and we think that number is much closer to the 1,000 to 2,000 RVMs we are planning to have. Nevertheless, we are going to look at the data very closely and make sure that we make the RVMs accessible to Singaporeans so that they can return their beverage containers. Addressing malfunctions and making logistical arrangements are part of licensing requirements for BCRS Ltd, and contractual arrangements that they have with their return point network operators and vendors of their machines. There is a contractual requirement for these machines to maintain 90% up-time. In other words, you only have 10% of your time for cleaning, clearing the beverage containers and doing repairs. For the rest of the time, it needs to be available. This is a metric that we will be watching very closely, and BCRS Ltd will be watching in terms of their contractual arrangements with the return point network operators."
03-02-2026,Mitigating Cost Impact on Customers with Beverage Container Return Scheme's Roll-out in April 2026,Ms Joan Pereira,12,"Thank you, Speaker and Senior Minister of State. I have two clarifications for the Senior Minister of State. First, could the Ministry provide additional grants and support, including on a longer-term basis, for smaller drinks producers to help defray the costs of complying with the scheme? Second, would the Ministry consider waiving the requirement to have the deposit mark after the transition period, given that there should be sufficient public awareness by then and retailers no longer need to distinguish products with and without the 10-cent deposit?"
03-02-2026,Mitigating Cost Impact on Customers with Beverage Container Return Scheme's Roll-out in April 2026,Dr Janil Puthucheary,13,"Sir, I thank Ms Joan Pereira for her two questions. We are currently providing a grant of $2,500. That grant is given to all registered producers. But it is sized to especially address the needs of the smaller producers. For a smaller producer, which we define as less than 50,000 beverage containers put to market per year, and that represents about one quarter of the producers in our estimate, the $2,500 is more than sufficient to cover both the product registration cost as well as the producer fees for the first year, which is about $2,000 in total. So, that is how we have sized the grant. We are prepared to exercise flexibility and look at further support, but we also have to recognise that the purpose of this scheme is to shift some of the responsibility to the producer. Today, if we purchase a beverage container, the entire responsibility for recycling that beverage container rests with the consumer. What we want is to shift some of that responsibility to the producer, so that they think about their supply chains, about the materials that are used and about how they commissioned their product and put it to market. So, we will consider these factors, but in general, we are prepared to be flexible and supportive in order to make sure that this scheme includes as much material as possible that we can successfully recycle."
