sittingDate,title,speaker,segment_no,speech_text
05-11-2025,Unfair Clauses in Government Tender Specifications,Mr Ang Wei Neng,1,"asked the Prime Minister and Minister for Finance whether the Ministry will advise all Government agencies to avoid having unfair clauses in all Government tender specifications, in view of the feedback from the Singapore Institute of Architects on the unfair clauses in the Singapore University of Social Sciences' tender documents."
05-11-2025,Unfair Clauses in Government Tender Specifications,Ms Indranee Rajah,2,"Speaker, Government agencies are required to conduct procurements in a fair manner. To guide agencies, the Ministry of Finance (MOF) provides templates with contractual terms and conditions which set out the responsibilities of the parties. These templates are developed in consultation with key sector agencies to reflect industry norms, particularly for major categories like construction, and information and communications technology (ICT). For example, the Standard Consultancy Agreement (SCA), used by Government agencies for construction-related consultancy services, states that agencies will pay for additional services not covered by the contract."
05-11-2025,Unfair Clauses in Government Tender Specifications,Mr Ang Wei Neng,3,"I thank the Minister for the reply. I would like to first declare that I am the CEO of Strides Premier, a company that from time to time participates in Government tenders. I understand that the Government departments have the duty to safeguard public money and not overpay private companies that provide services through Government contracts. At the same time, the Government also has a responsibility to support small and medium enterprises (SMEs), especially during the current climate of economic uncertainty. Thus, I hope the Minister will consider my supplementary question to remove or tweak three common clauses in Government contracts or tenders that SMEs find hard to comply with. Firstly, the clause on unlimited liability, regardless of contract value, similar to the clause required by the Singapore University of Social Sciences (SUSS) as reported in the press. Such a clause can be onerous to our SMEs and can even bankrupt them. Secondly, some other clauses in the Government contracts have limited milestone payments. Very often, Government agencies will only make the bulk of the payment at the end of the project, creating potential cash flow problems for SMEs participating in Government tenders. And thirdly, some Government tenders require contractors to make unlimited changes to design requirements without additional payment, similar to those required by SUSS. The tender document states that they will make changes and the changes will not be paid, even though, as the Minister said, what is not stated in the tender is supposed to be paid. But the tender says that it will not be paid in the first place. Any design change will cost money and someone has to pay for it. There is no free lunch. Thus, I hope the Minister could advise the various Government departments to consider tweaking such demanding clauses."
05-11-2025,Unfair Clauses in Government Tender Specifications,Ms Indranee Rajah,4,"I thank the Member for his supplementary question, which raises a couple of important points. Let me address them in turn. The first is to make a distinction between SUSS and Government. Strictly speaking, SUSS is an autonomous university (AU). AUs are independent corporate entities and not Government agencies, and this gives them the autonomy to handle operational and corporate service matters according to their own policies and procedures. Nevertheless, AUs are expected to adhere to fundamental procurement principles – of value-for-money, transparency, and open and fair competition; and we encourage them to align broadly. So, I just wanted to make that distinction, because in the particular instance that Mr Ang is referring to, I would not go into the details because it is between different parties, but my understanding is that those contract terms are not in exactly the same terms as the Government standard contracting terms. That is the first point. The second point is that for such contracts, there are really three broad groups. One is pure Government. Then, there are those which are not exactly Government, but like SUSS or other agencies, are expected to follow Government, but have much broader leeway to depart or set their own terms. And then, third, there is the private sector. So, I will come back to these three, but just let me address first the specific queries that Mr Ang had raised. We do recognise the need to support enterprises in this economic environment, even as we continue to achieve value-for-money for public spending. So, on the point about making unlimited design changes, I had shared earlier that under the SCA, which is what the Government follows, the one that is used for construction-related consultancy services, agencies will pay for additional services not covered by the contract, such as further changes after design sign-off. Then, with respect to unlimited liability, in November 2024, we added an option in the SCA to limit consultants' contractual liability. And then, as announced by Minister for National Development Mr Chee Hong Tat, last month, we will be making this mandatory starting from 1 December 2025. So, in other words, going forward, there will be limited liability. Though these changes have only been applied to the SCA, agencies are expected to be fair to suppliers in all their contracts, facilitated by standard contract templates, such as the Tender Lite Conditions of Contract. And on the question of milestones, Government agencies typically make payments to their suppliers at specified milestones during the course of the project. For instance, construction contractors are usually paid every month, based on monthly progress payments. MOF has also provided agencies with guidelines for more frequent payment milestones. Besides this, the Government has introduced Tender Lite to simplify procurement in tenders with estimated procurement value up to $1 million. This makes it easier for businesses, especially SMEs, to access Government procurement opportunities. MOF has worked closely with partners, including the Singapore Business Federation, the Association of Small and Medium Enterprises, and sector-specific trade associations to develop Tender Lite. We will continue to partner industry to look for ways to ease doing business with Government. That said, Mr Ang's supplementary question raises a broader issue, which is that of fair contracting. The Government is actually encouraging the industry, especially the construction industry but across the board, to have collaborative contracting and fair clauses. The old way of approaching contracts is very much a win-lose. The lawyers on one side will want to get everything for their client. The lawyers on the other side will obviously want to do the same. But contracts for such procurement should not be win-lose. You should try to see how you can make it win-win. Because if every party has a vested interest in the contract to make it succeed, that would be better. And if it is completely one-sided, then after a while the other side will either not want to participate or the relationship will break down. And this needs a change of mindset. Many of the contracts out there, especially in the private sector, which are not mandated by Government, are in old standard forms. It is very difficult to get lawyers to shift from standard forms. They like their precedents. My message, really, to the industry, especially the built environment industry, is that we are trying to effect change. That change is collaborative contracting where it is win-win, and fair clauses. That leads to the question of what is fair. Usually, that is a matter of negotiation. But it is difficult when you have parties who have uneven resources and of different sizes. This is the reason why the SCA and other Government standard contracts can and should be the base reference. You can depart from it, but that should be the standard for what is the expected norm, and the Government has the ability by putting in certain clauses, firstly, to practise it for ourselves, but also to signal to the market what is considered fair. And of course, if we get feedback that clauses are not fair or too onerous, then we can always review and adjust as needed."
05-11-2025,Data on Sanctioned Individuals Operating Tax-exempt Family Offices Locally,Mr Kenneth Tiong Boon Kiat,1,asked the Prime Minister and Minister for Finance (a) whether any individuals sanctioned by the US for alleged transnational criminal activities or convicted in Singapore's largest money laundering case had operated tax-exempt family offices locally; (b) what due diligence checks does MAS conduct before granting such incentives; and (c) what systemic reforms have been implemented to prevent criminal networks from exploiting Singapore's family office regime.
05-11-2025,Data on Sanctioned Individuals Operating Tax-exempt Family Offices Locally,Mr Chee Hong Tat,2,"Mr Speaker, my response will also address related questions by Ms Sylvia Lim, Mr Louis Chua and Ms He Ting Ru from yesterday and today, as well as a written question by Mr Abdul Muhaimin Abdul Malik scheduled for tomorrow’s Sitting. Singapore upholds high regulatory standards in our financial system aligned with international standards. It is one reason why many investors view Singapore as a trusted financial hub. Like other global financial centres, having high standards does not mean there will be zero cases involving entities and individuals who break the rules or who fail to comply with our regulatory requirements. What is key is that where wrongdoing is identified, the authorities will investigate thoroughly and take firm enforcement action in accordance with the law. The money laundering investigations by the Police against Chen Zhi and related associates are ongoing. Enforcement operations were conducted on 30 October 2025. Arising from the enforcement operations, the Police have issued prohibition of disposal orders and seized a range of assets, including properties, cars, bank accounts and securities accounts. Prior to the indictment of Chen Zhi by the United States (US), our Police had been conducting probes into Chen Zhi and his associates. Thus far, the Monetary Authority of Singapore (MAS) has identified two Single Family Offices (SFO) funds granted tax incentives that are linked to the sanctioned individuals. MAS has ceased the tax incentives. As investigations are ongoing, I seek Members’ understanding that I am not able to comment further on the details at this stage. Based on available data over the past three years, about 3% out of 1,300 applications were rejected. Besides the rejected applications, some potential applicants also withdrew their interest to apply before submitting a formal application when questions were posed and requirements were clarified at the pre-application stage. As part of the tax incentive application process, individuals and entities are screened against databases to check that there are no reports on their involvement in illegal activities such as money laundering and terrorism financing. The SFO fund is also required to open and maintain an account with an MAS-licensed bank and be subject to the bank’s customer due diligence and ongoing monitoring checks, including detecting any unusual or suspicious transactions. MAS regularly reviews and refines its regulatory regime. It consulted on proposed changes to the SFO regulatory regime in July 2023. In addition to now requiring all SFOs based in Singapore, whether they are receiving tax incentives or not, to maintain bank accounts, SFOs will need to notify MAS upon the commencement of their operations and submit annual returns to MAS. The returns supplement MAS’ ongoing surveillance efforts to maintain the integrity of our financial system. MAS and the financial industry will continue to review our surveillance and detection capabilities. But we need to adopt a sensible and calibrated approach, and should refrain from a knee-jerk overreaction when cases happen from time to time. Similar to all major international financial centres, it is not possible to have zero incidents given the complex nature of the financial services industry and the high volume of daily transactions. In addition, combatting financial crime requires a global effort, as illicit fund flows are often cross-border in nature. In the Prince Holdings case, the US seized US$15 billion in Bitcoins and the United Kingdom (UK) froze 19 properties. It was announced yesterday that Hong Kong and Taiwan have also recently moved to seize substantial amounts of assets and have made arrests. All major financial centres have to remain vigilant and work together to combat financial crimes. Sir, SFOs linked to individuals convicted of money laundering offences represent a very small proportion of the overall sector, at less than 1%. We have to remain open to bona fide family offices and genuine investors, to continue growing our financial services industry and creating good jobs for our people. As at end 2024, the wealth management and private banking functions in banks employed more than 13,000 locals. High net worth clients also use other service providers such as legal and tax advisors, fund administrators and accounting firms. Compared to other financial centres, many industry stakeholders already consider Singapore to have more stringent due diligence standards for high net worth clients. If we were to tighten further to the point where the processes become overly cumbersome, it will affect our competitiveness, deter legitimate investors and put many local jobs at risk. This is not the outcome we want for Singapore. There is a Chinese saying that when we open the windows, some flies may also enter. The solution is not to shut our windows and block out sunlight and fresh air. What matters is that we act swiftly to deal with the flies that enter, while also letting in sunlight and fresh air. This is the approach we take in Singapore. Risk-proportionate, not zero-risk. MAS will continue to take a risk-proportionate approach to maintain our status as a trusted financial centre. MAS expects our financial institutions to do the same, so that we collectively maintain high standards while keeping our system efficient and competitive. Singapore will also continue to work closely with our international counterparts to deter and enforce against bad actors who operate across different jurisdictions."
05-11-2025,Data on Sanctioned Individuals Operating Tax-exempt Family Offices Locally,Mr Kenneth Tiong Boon Kiat,3,"Thank you, Speaker. Three supplementary questions for the Minister, given that Prince Group's scam operations were publicly documented by English language investigative media as early as February 2024 and even earlier in July 2022 in Chinese court notices, did MAS conduct any mid-term reviews of DW Capital Holdings between 2018 and the US action in October 2025? And if not, why not? The second supplementary question. I thank the Minister for his metaphor. I think there are a lot of flies in the house. So, as more cases of criminality associated with family offices that have been set up in Singapore have come to light, will the Government start to work on the assumption that illicit money generated by scams and other cross-border crime has already penetrated Singapore? And therefore, will the Government mandate enhanced due diligence on existing client relationships across all regulated financial sectors, not just new client onboarding? The third supplementary question. Further to my previous question, will MAS require all existing 13O and 13U tax incentive holders, and not just new applicants, undergo mandatory rescreening?"
05-11-2025,Data on Sanctioned Individuals Operating Tax-exempt Family Offices Locally,Mr Chee Hong Tat,4,"Mr Speaker, before I answer the questions, may I ask Mr Tiong to clarify if the Workers' Party's (WP's) position is that we should adopt a zero-risk approach? Or would he agree with me that we should adopt a risk-proportionate approach, set high standards, but also maintain the efficiency and competitiveness of our financial system?"
05-11-2025,Data on Sanctioned Individuals Operating Tax-exempt Family Offices Locally,Mr Kenneth Tiong Boon Kiat,5,"There is a pattern of Ministers and political officeholders asking very rhetorical zeros, like rhetorical questions, which have no meaning, which are like"
05-11-2025,Data on Sanctioned Individuals Operating Tax-exempt Family Offices Locally,Mr Kenneth Tiong Boon Kiat,6,"So, the answer is no. And I do not think it is the Minister's point of view that you should in fact have a zero-risk approach. Because it is impossible. So, he is asking a stupid question."
