sittingDate,title,speaker,segment_no,speech_text
24-09-2025,Reviewing Regulatory Framework for Integrated Shield Plans and Assessing Practice of Pre-authorisation,Ms Mariam Jaafar,1,"asked the Coordinating Minister for Social Policies and Minister for Health given Integrated Shield Plans are primarily healthcare financing tools, whether the Government will consider reviewing the regulatory framework for Integrated Shield Plans to give greater regulatory oversight to the Ministry, or adopting a stronger dual or co-regulation model, to ensure better alignment with national healthcare priorities and patient protection."
24-09-2025,Reviewing Regulatory Framework for Integrated Shield Plans and Assessing Practice of Pre-authorisation,Mr Vikram Nair,2,"asked the Coordinating Minister for Social Policies and Minister for Health what are the measures the Ministry intends to take to address the issues of escalating private healthcare costs, insurance premiums and insurers refusing pre-authorisation certificates at certain hospitals."
24-09-2025,Reviewing Regulatory Framework for Integrated Shield Plans and Assessing Practice of Pre-authorisation,Dr Hamid Razak,3,"asked the Coordinating Minister for Social Policies and Minister for Health given that pre-authorisation helps ensure that policyholders have access to non-panel doctors and receive cost-effective treatments, whether the Ministry will implement measures to ensure that policyholders continue to have access to the full benefits of their Integrated Shield Plan should an insurer stop issuing pre-authorisation certificates."
24-09-2025,Reviewing Regulatory Framework for Integrated Shield Plans and Assessing Practice of Pre-authorisation,Mr Yip Hon Weng,4,"asked asked the Coordinating Minister for Social Policies and Minister for Health given recent unilateral changes by Integrated Shield Plan insurers, such as new pre-authorisation rules for existing policyholders (a) whether the Government will consider a dedicated healthcare insurance law to protect consumers and establish a mandatory dispute resolution platform; and (b) whether there are regulations to prevent insurers from influencing healthcare decisions against policyholders’ best interests."
24-09-2025,Reviewing Regulatory Framework for Integrated Shield Plans and Assessing Practice of Pre-authorisation,Ms Rahayu Mahzam,5,"Mr Speaker, may I have your permission to answer Question Nos 1 to 4 together?"
24-09-2025,Reviewing Regulatory Framework for Integrated Shield Plans and Assessing Practice of Pre-authorisation,Ms Rahayu Mahzam,6,"My response will also address oral Question Nos 73 to 75 from the Order Paper on 22 September 2025. Allow me to begin by putting the issue into perspective. The Ministry of Health (MOH) has previously explained the current state of private healthcare and insurance: insurers, private hospitals and providers have got themselves tied up in a knot, resulting in escalating private hospital bills, rising premiums and more safeguards introduced to the claims process. The concerns raised by Members point back to this deeper issue. A significant root factor is the design of private health insurance. Insurers know that policyholders are worried about unexpected large hospital bills, so they offer plans with generous coverage and benefits through Integrated Shield Plans (IPs) and riders, covering almost to the last dollar with little co-payment. But when someone else – in this case, insurers – pays for almost the entire bill, the dynamic between patients and providers changes. There is tendency for over-servicing and unnecessary treatments. This is backed by data. The likelihood of a patient with a private hospital rider making a claim is 1.4 times that of a patient without a rider. The size of the claim is also on average about 1.4 times that of a patient without a rider. Rising private hospital claims put a strain on insurance. For IP portfolios to be sustainable, insurers raise premiums to cover claims. Policyholders have seen sharp increases in premiums for private hospital plans, namely IPs and riders. They also introduce more safeguards to manage claim costs, which helps insurers moderate premium growth to some extent. So, in response to the Member’s question, Mr Fadli Fawzi is right that features such as ""as charged"" expands coverage and contributes towards weakening the discipline of insurance claims. There are other features too, such as covering deductibles and co-payment, which also need to be looked at. But private healthcare insurance is in its current unsustainable state not because of collusion or anti-competitive behaviour. That usually leads to supernormal profits by market players at the expense of consumers. Here, insurers are either making losses or barely breaking even on their health portfolios. The situation is due to excessive competition that has gone wrong – another type of market failure. Mr Yip Hon Weng and Ms Mariam Jaafar asked if there could be new laws for stronger regulatory oversight. We already have a Competition Act to proscribe collusion and anti-competitive behaviour. If we strengthen regulatory oversight, it should be to correct the market failures arising from unsustainable and self-harming competition that have taken place today. Regulations to prevent insurers from correcting the current problem will likely exacerbate the situation, make private insurance even more unsustainable, with no market correction mechanism. Should there be disputes over specific claims, policyholders can take it to the Financial Industry Disputes Resolution Centre (FIDReC), an independent and impartial institution that assists with insurance-related disputes. The Monetary Authority of Singapore (MAS) will also take action against insurers if they do not pay claims in accordance with policy terms and conditions or have unfair claims handling practices. MOH will continue to work with MAS to exercise regulatory oversight over IP insurers and products. Members also asked about the practice of pre-authorisation. Pre-authorisation is an administrative arrangement – not a contractual benefit – offered by insurers. It enables insurers to review and approve medical treatments and associated fees, to make sure that they are medically necessary and covered by the policy, before they occur. This arrangement also gives patients the assurance about what will be covered. Today, five of the seven IP insurers provide pre-authorisation. Regardless of pre-authorisation, IP policyholders enjoy their full contractual benefits and can still make claims for their treatments according to the terms and conditions of their policy. Panels are another means that insurers use to manage claim costs, by ensuring that doctors on the panel adhere to fee ranges set by the insurer. Seeing a panel doctor typically allows policyholders to enjoy more favourable co-payment terms. All policyholders remain entitled to their full contractual benefits, even if they seek care from a non-panel doctor. Most insurers have at least 600 private specialists on their panels. MOH monitors insurers’ practices and works with them to ensure adequate panel coverage at the overall and speciality level. With Extended Panels, most IP insurers also allow policyholders to access doctors on other IP insurers’ panels, subject to review. The trends we see – escalating costs, premiums, tightening claims management practices – are consequences and symptoms of the knot that insurers, doctors, hospitals and policyholders are caught in. Regulation will not loosen this knot; it will make it worse. If we restrict insurers’ claims management practices, we will likely see even larger premium increases. And if we cap premium increases, products will become unviable, which will hurt policyholders. So, we need to loosen and untie this knot, step by step. Every stakeholder needs to do its part and MOH will facilitate the process. We have urged the insurance industry to relook their overly-generous policy design, such as minimal rider co-payment. Insurers will need to balance between providing assurance and protection, and encouraging prudent consumption and servicing. We will do more to educate consumers on choosing the appropriate health insurance coverage for their needs. We are in fact launching a public education campaign soon. To rein in private sector cost increases, MOH has developed and published over 2,800 doctor fee benchmarks, which providers and insurers reference to set fees and review reimbursements respectively. We will study what more can be done to guide fee setting by private hospitals. MOH will also continue to work through the Multilateral Healthcare Insurance Committee, which brings together key stakeholders from healthcare providers, medical professionals, insurers and consumer representatives, to address these issues collaboratively."
24-09-2025,Reviewing Regulatory Framework for Integrated Shield Plans and Assessing Practice of Pre-authorisation,Mr Yip Hon Weng,7,"Thank you, Mr Speaker. I thank the Minister of State for her response. Many Yio Chu Kang seniors who have been faithfully paying their premiums are now worried that with the sudden rule changes, like the new pre-authorisation requirements, it could disrupt their ongoing treatments. Could the Minister of State explain what safeguards are in place to ensure that existing policyholders, especially seniors who are in the midst of treatments, are not disadvantaged by such unilateral insurer decisions? And secondly, some of these residents have also asked me if an insurer delays or rejects a pre-authorisation without good reason, what recourse do they have? And I hear from the Minister of State that fee benchmarks are being published, but will the Ministry also consider publishing data on insurer performance, such as approval rates, turnaround times, appeal outcomes, so that Singaporeans can see whether insurers are acting in their best interests?"
24-09-2025,Reviewing Regulatory Framework for Integrated Shield Plans and Assessing Practice of Pre-authorisation,Ms Rahayu Mahzam,8,"I thank the Member for your question. I just want to clarify though that we are discussing this matter in the context of the IPs. As you can appreciate, the IP is a term insurance, very much like typical insurance policies. It is a term insurance which only goes towards coverage for the duration of the term. So, if your residents are in a situation where they are within that period of their term and they then meet the requirements and the criteria for their claims, I do not see why they would be affected by anything. Because they lie in the bed they make, the contract that they have signed within that contractual period. When we talk about pre-authorisation, as I explained earlier, it is a slightly different animal. It is not part of the term's conditions. It is an administrative process. It allows for treatments that are pre-planned, hospitalisation or surgery that is coming up for policyholders to get confirmation to see whether this treatment is something that their insurers would pay for. What we hear, what we understand is that, typically if there are rejections, it is possibly because there is an exclusion in the original contract, so you could not have gotten it covered anyway, or the fees are too high, the treatment plan may be too aggressive, meaning you have not considered other treatment plans. But it still does not take away from the fact that if you do then consume a treatment and it falls within your contract, you can still claim from your insurer. It is just that there was no pre-authorisation. As for the recourse, so if let us say, you submit a pre-authorisation claim and it is rejected, or in that recent case, suspended, it just means that you need to consider your options. If you feel that the treatment or you accept the reason that the treatment is aggressive or it is not covered, then you may need to consider whether you want to choose an alternative treatment. Or if you feel that actually that is a treatment that is purely covered, you can go ahead and you will then have to make the claim subsequently. There can still be disputes, of course, as with other similar grounds. But there is very little leverage. There is going to be back and forth, but there is lesser leverage for the insurers to reject. Because if it is truly something that is circumscribed by the contract, then there is no running away from having to pay out according to the terms of the contract."
24-09-2025,Reviewing Regulatory Framework for Integrated Shield Plans and Assessing Practice of Pre-authorisation,Mr Vikram Nair,9,"I thank the Minister of State for the explanation and the plans in this complex area. I agree that the greater the insurance coverage, the more likely the cost will be to escalate. I have two clarifications on this. One, is the Ministry looking at any regulatory measures to make sure that healthcare providers do not use insurance as an opportunity to overcharge? And this may include disciplinary proceedings, and so on. The second is from the point of view of the insurance users. I take the Minister of State's point that this is a contract, but in practical terms, quite often the people who buy insurance policies do so on standard terms; they do not negotiate it and they do not really have that option to go to a different insurer so readily, once they have been in a contract for a certain period of time. So, I think there is an element of consumer protection that needs to go in as well. Even though the insurance is renewed yearly, if the coverage does get worse, I think the Ministry should have some guidelines on when it will step in to protect consumers."
24-09-2025,Reviewing Regulatory Framework for Integrated Shield Plans and Assessing Practice of Pre-authorisation,Ms Rahayu Mahzam,10,"On the first question, I just want to assure the Member that we take a multi-pronged approach in trying to deal with this matter. Our conversations, discussions and engagements with insurers on their insurance product design is one, but we are also looking at different elements, including introducing fee benchmarks which we have done since 2018. We have introduced benchmarks for private professional fees and this guides the pricing and guards against overcharging. So, there are some levers here."
