sittingDate,title,speaker,segment_no,speech_text
07-04-2026,"Impact of War in Iran on Singaporeans and Singapore's Businesses, Trade, Supply Chains, LNG Stockpiles and Prices",Mr Chua Kheng Wee Louis,1,asked the Deputy Prime Minister and Minister for Trade and Industry (a) whether the recent magnitude and speed of adjustments in diesel and petrol prices are in line with refined wholesale prices; and (b) whether the Government is considering temporary or permanent diesel and petrol pump price adjustment mechanisms to mitigate the impact of pump prices on consumers and businesses.
07-04-2026,"Impact of War in Iran on Singaporeans and Singapore's Businesses, Trade, Supply Chains, LNG Stockpiles and Prices",Ms Hazlina Abdul Halim,2,asked the Deputy Prime Minister and Minister for Trade and Industry (a) what is the Government's projections on electricity price increases over the next six to 12 months in light of rising global oil and gas prices; and (b) what measures are in place to shield households from sudden spikes in electricity prices.
07-04-2026,"Impact of War in Iran on Singaporeans and Singapore's Businesses, Trade, Supply Chains, LNG Stockpiles and Prices",Mr Kenneth Tiong Boon Kiat,3,"asked the Deputy Prime Minister and Minister for Trade and Industry given Australia's 2025 review of the Prohibiting Energy Market Misconduct Act found retailers systematically raise prices faster than they lower them, and recommended symmetrical cost-pass-through obligations requiring retailers to both pass on cost decreases and justify price increases against underlying costs, whether the Government will adopt similar safeguards to protect energy consumers during and after the Strait of Hormuz disruption."
07-04-2026,"Impact of War in Iran on Singaporeans and Singapore's Businesses, Trade, Supply Chains, LNG Stockpiles and Prices",Ms Diana Pang Li Yen,4,asked the Deputy Prime Minister and Minister for Trade and Industry (a) what factors explain differences in effective petrol prices across retailers after discounts and promotions amid recent global oil price volatility and regional supply disruptions; and (b) whether the Ministry will review whether existing measures on petrol price transparency and current market conditions are sufficient to support fair competition and allow consumers to make informed choices.
07-04-2026,"Impact of War in Iran on Singaporeans and Singapore's Businesses, Trade, Supply Chains, LNG Stockpiles and Prices",Mr Foo Cexiang,5,asked the Deputy Prime Minister and Minister for Trade and Industry (a) whether the Government has observed significant impact to sectors other than oil and gas due to the Middle East situation; and (b) what are the support measures to be implemented in order to mitigate adverse impact and assist businesses facing price and supply challenges.
07-04-2026,"Impact of War in Iran on Singaporeans and Singapore's Businesses, Trade, Supply Chains, LNG Stockpiles and Prices",Mr Foo Cexiang,6,asked the Deputy Prime Minister and Minister for Trade and Industry (a) whether the Competition and Consumer Commission of Singapore (CCCS) is actively monitoring the price increases by petrol companies; and (b) how will the CCCS ensure that the Middle East situation is not used as a convenient excuse for anti-competitive behaviour amongst petrol companies.
07-04-2026,"Impact of War in Iran on Singaporeans and Singapore's Businesses, Trade, Supply Chains, LNG Stockpiles and Prices",Dr Choo Pei Ling,7,asked the Deputy Prime Minister and Minister for Trade and Industry (a) how does the Government assess whether global trade disruptions are temporary or indicative of longer-term shifts; (b) what factors inform such assessments; and (c) how do these assessments shape adjustments to Singapore’s economic strategy.
07-04-2026,"Impact of War in Iran on Singaporeans and Singapore's Businesses, Trade, Supply Chains, LNG Stockpiles and Prices",Mr Pritam Singh,8,asked the Deputy Prime Minister and Minister for Trade and Industry in light of damage to key liquefied natural gas (LNG) facilities in Qatar (a) what is the estimated impact on household expenditure in Singapore over the next three years; (b) what measures will the Government roll out to help businesses and households manage price shocks; and (c) what thresholds will necessitate fiscal intervention.
07-04-2026,"Impact of War in Iran on Singaporeans and Singapore's Businesses, Trade, Supply Chains, LNG Stockpiles and Prices",Mr Pritam Singh,9,asked the Deputy Prime Minister and Minister for Trade and Industry what is the scope of the Government’s contingency plans in the event of a disruption in energy supplies or a prolonged period of high energy prices.
07-04-2026,"Impact of War in Iran on Singaporeans and Singapore's Businesses, Trade, Supply Chains, LNG Stockpiles and Prices",Mr Gerald Giam Yean Song,10,asked the Deputy Prime Minister and Minister for Trade and Industry (a) whether a severe shortage of fuel supply for electricity generation will trigger a declaration of a High-Risk Operating State under the Singapore Electricity Market Rules; (b) how many months can current national fuel reserves sustain electricity generation if the Strait of Hormuz remains closed; and (c) under what conditions will the Standby LNG Facility reserves be released to power generation companies.
